"english","example","ko_meaning","ko_example","ja_meaning","ja_example","zh_meaning","zh_example"
"abide","All employees must abide by the company's code of conduct.","준수하다","모든 직원은 회사의 행동 강령을 준수해야 합니다.","従う","全従業員は会社の行動規範を遵守しなければなりません。","遵守","所有员工必须遵守公司的行为准则。"
"abolish","The board voted to abolish the outdated overtime policy.","폐지하다","이사회는 구식 초과근무 정책을 폐지하기로 투표했습니다.","廃止する","取締役会は時代遅れの残業方針を廃止することを決議しました。","废除","董事会投票决定废除过时的加班政策。"
"abstain","Three board members chose to abstain from the important vote.","삼가다","세 명의 이사가 중요한 투표를 기권하기로 했습니다.","控える","3人の取締役が重要な投票を棄権することを選びました。","弃权","三名董事会成员选择在重要投票中弃权。"
"accelerate","The new strategy will accelerate growth in the Asian market.","가속하다","새로운 전략은 아시아 시장에서의 성장을 가속할 것입니다.","加速する","新しい戦略はアジア市場での成長を加速させるでしょう。","加速","新战略将加速亚洲市场的增长。"
"accumulate","The company managed to accumulate significant cash reserves this year.","축적하다","회사는 올해 상당한 현금 보유고를 축적했습니다.","蓄積する","会社は今年かなりの現金準備金を蓄積しました。","积累","公司今年成功积累了大量现金储备。"
"acquaint","Please acquaint yourself with the new safety regulations before Monday.","알리다","월요일 전에 새로운 안전 규정을 숙지해 주세요.","知らせる","月曜日までに新しい安全規則を把握してください。","使了解","请在周一之前熟悉新的安全规定。"
"acquisition","The acquisition of the rival firm was completed last quarter.","인수","경쟁사 인수는 지난 분기에 완료되었습니다.","買収","ライバル企業の買収は前四半期に完了しました。","收购","对竞争对手公司的收购在上季度完成。"
"adjourn","The chairperson decided to adjourn the meeting until next Friday.","휴회하다","의장은 회의를 다음 금요일까지 휴회하기로 했습니다.","休会する","議長は会議を来週金曜日まで休会することを決めました。","休会","主席决定将会议休会至下周五。"
"admonish","The supervisor had to admonish the team for missing the deadline.","훈계하다","감독관은 마감을 놓친 팀을 훈계해야 했습니다.","忠告する","上司は締め切りを逃したチームを忠告しなければなりませんでした。","告诫","主管不得不告诫团队错过截止日期的问题。"
"adversary","Our main adversary in the market launched a new competing product.","적수","시장에서 우리의 주요 적수가 새로운 경쟁 제품을 출시했습니다.","敵対者","市場での主な敵対者が新しい競合製品を発売しました。","对手","我们在市场上的主要对手推出了一款新的竞争产品。"
"adverse","Adverse weather conditions caused significant delays in the supply chain.","불리한","불리한 기상 조건이 공급망에 상당한 지연을 초래했습니다.","不利な","不利な気象条件がサプライチェーンに大きな遅延を引き起こしました。","不利的","不利的天气条件导致了供应链的严重延迟。"
"advocacy","Her advocacy for employee wellness programs gained strong company-wide support.","옹호","직원 웰니스 프로그램에 대한 그녀의 옹호가 전사적 지지를 얻었습니다.","擁護","従業員ウェルネスプログラムへの彼女の擁護は全社的な支持を得ました。","倡导","她对员工健康计划的倡导获得了全公司的大力支持。"
